name,type,value,date
18,,44,2019-04-24,
19,,23,2019-04-24,
20,,11,2019-04-24,
21,,5,2019-04-24,
22,,6,2019-04-24,
23,,22,2019-04-24,
0,,36,2019-04-25,
1,,161,2019-04-25,
2,,200,2019-04-25,
3,,217,2019-04-25,
4,,166,2019-04-25,
5,,163,2019-04-25,
6,,171,2019-04-25,
7,,166,2019-04-25,
8,,165,2019-04-25,
9,,133,2019-04-25,
10,,186,2019-04-25,
11,,172,2019-04-25,
12,,93,2019-04-25,
13,,130,2019-04-25,
14,,159,2019-04-25,
15,,136,2019-04-25,
16,,98,2019-04-25,
17,,36,2019-04-25,
18,,44,2019-04-25,
19,,23,2019-04-25,
20,,11,2019-04-25,
21,,5,2019-04-25,
22,,6,2019-04-25,
23,,22,2019-04-25,
0,,36,2019-04-26,
1,,169,2019-04-26,
2,,201,2019-04-26,
3,,217,2019-04-26,
4,,166,2019-04-26,
5,,163,2019-04-26,
6,,171,2019-04-26,
7,,167,2019-04-26,
8,,165,2019-04-26,
9,,134,2019-04-26,
10,,186,2019-04-26,
11,,172,2019-04-26,
12,,93,2019-04-26,
13,,130,2019-04-26,
14,,159,2019-04-26,
15,,136,2019-04-26,
16,,98,2019-04-26,
17,,36,2019-04-26,
18,,44,2019-04-26,
19,,23,2019-04-26,
20,,11,2019-04-26,
21,,5,2019-04-26,
22,,6,2019-04-26,
23,,22,2019-04-26,
0,,36,2019-04-27,
1,,169,2019-04-27,
2,,202,2019-04-27,
3,,217,2019-04-27,
4,,166,2019-04-27,
5,,163,2019-04-27,
6,,171,2019-04-27,
7,,167,2019-04-27,
8,,165,2019-04-27,
9,,134,2019-04-27,
10,,186,2019-04-27,
11,,172,2019-04-27,
12,,93,2019-04-27,
13,,130,2019-04-27,
14,,159,2019-04-27,
15,,136,2019-04-27,
16,,98,2019-04-27,
17,,36,2019-04-27,
18,,44,2019-04-27,
19,,23,2019-04-27,
20,,11,2019-04-27,
21,,5,2019-04-27,
22,,6,2019-04-27,
23,,22,2019-04-27,
0,,36,2019-04-28,
1,,173,2019-04-28,
2,,203,2019-04-28,
3,,218,2019-04-28,
4,,166,2019-04-28,
5,,163,2019-04-28,
6,,171,2019-04-28,
7,,167,2019-04-28,
8,,166,2019-04-28,
9,,134,2019-04-28,
10,,186,2019-04-28,
11,,174,2019-04-28,
12,,93,2019-04-28,
13,,131,2019-04-28,
14,,160,2019-04-28,
15,,136,2019-04-28,
16,,98,2019-04-28,
17,,36,2019-04-28,
18,,44,2019-04-28,
19,,23,2019-04-28,
20,,11,2019-04-28,
21,,5,2019-04-28,
22,,6,2019-04-28,
23,,22,2019-04-28,
0,,36,2019-04-29,
1,,180,2019-04-29,
2,,203,2019-04-29,
3,,224,2019-04-29,
4,,169,2019-04-29,
5,,165,2019-04-29,
6,,171,2019-04-29,
7,,167,2019-04-29,
8,,168,2019-04-29,
9,,136,2019-04-29,
10,,186,2019-04-29,
11,,174,2019-04-29,
12,,93,2019-04-29,
13,,131,2019-04-29,
14,,160,2019-04-29,
15,,136,2019-04-29,
16,,98,2019-04-29,
17,,36,2019-04-29,
18,,45,2019-04-29,
19,,23,2019-04-29,
20,,11,2019-04-29,
21,,5,2019-04-29,
22,,6,2019-04-29,
23,,22,2019-04-29,
0,,38,2019-04-30,
1,,181,2019-04-30,
2,,204,2019-04-30,
3,,224,2019-04-30,
4,,169,2019-04-30,
5,,165,2019-04-30,
6,,171,2019-04-30,
7,,167,2019-04-30,
8,,168,2019-04-30,
9,,136,2019-04-30,
10,,187,2019-04-30,
11,,189,2019-04-30,
12,,94,2019-04-30,
13,,132,2019-04-30,
14,,161,2019-04-30,
15,,136,2019-04-30,
16,,98,2019-04-30,
17,,36,2019-04-30,
18,,45,2019-04-30,
19,,23,2019-04-30,
20,,11,2019-04-30,
21,,5,2019-04-30,
22,,6,2019-04-30,
23,,22,2019-04-30,
0,,38,2019-05-01,
1,,181,2019-05-01,
2,,204,2019-05-01,
3,,224,2019-05-01,
4,,169,2019-05-01,
5,,165,2019-05-01,
6,,174,2019-05-01,
7,,171,2019-05-01,
8,,168,2019-05-01,
9,,136,2019-05-01,
10,,187,2019-05-01,
11,,189,2019-05-01,
12,,94,2019-05-01,
13,,132,2019-05-01,
14,,161,2019-05-01,
15,,136,2019-05-01,
16,,98,2019-05-01,
17,,36,2019-05-01,
18,,45,2019-05-01,
19,,23,2019-05-01,
20,,11,2019-05-01,
21,,5,2019-05-01,
22,,6,2019-05-01,
23,,22,2019-05-01,
0,,38,2019-05-02,
1,,181,2019-05-02,
2,,204,2019-05-02,
3,,226,2019-05-02,
4,,169,2019-05-02,
5,,165,2019-05-02,
6,,174,2019-05-02,
7,,173,2019-05-02,
8,,168,2019-05-02,
9,,136,2019-05-02,
10,,196,2019-05-02,
11,,189,2019-05-02,
12,,94,2019-05-02,
13,,132,2019-05-02,
14,,161,2019-05-02,
15,,136,2019-05-02,
16,,98,2019-05-02,
17,,36,2019-05-02,
18,,45,2019-05-02,
19,,23,2019-05-02,
20,,11,2019-05-02,
21,,5,2019-05-02,
22,,6,2019-05-02,
23,,22,2019-05-02,
0,,38,2019-05-03,
1,,182,2019-05-03,
2,,205,2019-05-03,
3,,226,2019-05-03,
4,,169,2019-05-03,
5,,165,2019-05-03,
6,,174,2019-05-03,
7,,173,2019-05-03,
8,,168,2019-05-03,
9,,136,2019-05-03,
10,,196,2019-05-03,
11,,189,2019-05-03,
12,,95,2019-05-03,
13,,132,2019-05-03,
14,,162,2019-05-03,
15,,136,2019-05-03,
16,,98,2019-05-03,
17,,36,2019-05-03,
18,,45,2019-05-03,
19,,23,2019-05-03,
20,,11,2019-05-03,
21,,5,2019-05-03,
22,,6,2019-05-03,
23,,22,2019-05-03,
0,,38,2019-05-04,
1,,182,2019-05-04,
2,,205,2019-05-04,
3,,226,2019-05-04,
4,,169,2019-05-04,
5,,167,2019-05-04,
6,,174,2019-05-04,
7,,173,2019-05-04,
8,,168,2019-05-04,
9,,136,2019-05-04,
10,,196,2019-05-04,
11,,189,2019-05-04,
12,,95,2019-05-04,
13,,132,2019-05-04,
14,,162,2019-05-04,
15,,136,2019-05-04,
16,,98,2019-05-04,
17,,36,2019-05-04,
18,,45,2019-05-04,
19,,23,2019-05-04,
20,,11,2019-05-04,
21,,5,2019-05-04,
22,,6,2019-05-04,
23,,22,2019-05-04,
0,,38,2019-05-05,
1,,182,2019-05-05,
2,,206,2019-05-05,
3,,226,2019-05-05,
4,,169,2019-05-05,
5,,167,2019-05-05,
6,,174,2019-05-05,
7,,173,2019-05-05,
8,,168,2019-05-05,
9,,136,2019-05-05,
10,,196,2019-05-05,
11,,189,2019-05-05,
12,,95,2019-05-05,
13,,134,2019-05-05,
14,,165,2019-05-05,
15,,136,2019-05-05,
16,,98,2019-05-05,
17,,36,2019-05-05,
18,,45,2019-05-05,
19,,23,2019-05-05,
20,,11,2019-05-05,
21,,5,2019-05-05,
22,,6,2019-05-05,
23,,22,2019-05-05,
0,,38,2019-05-06,
1,,191,2019-05-06,
2,,206,2019-05-06,
3,,226,2019-05-06,
4,,169,2019-05-06,
5,,167,2019-05-06,
6,,174,2019-05-06,
7,,174,2019-05-06,
8,,168,2019-05-06,
9,,136,2019-05-06,
10,,196,2019-05-06,
11,,189,2019-05-06,
12,,95,2019-05-06,
13,,134,2019-05-06,
14,,165,2019-05-06,
15,,136,2019-05-06,
16,,98,2019-05-06,
17,,36,2019-05-06,
18,,45,2019-05-06,
19,,23,2019-05-06,
20,,11,2019-05-06,
21,,5,2019-05-06,
22,,7,2019-05-06,
23,,25,2019-05-06,
